stockNum,thisMonth,monthIncreasing,yearIncreasing
9912,58831,29.17,115.60
2323,637002,-18.08,-7.58
2340,509918,-4.65,9.82
2349,660828,2.70,32.28
2374,258395,5.10,-4.81
2393,2066504,-5.16,6.77
2406,706188,-5.28,22.02
2409,29600923,-3.64,46.80
2426,279978,0.99,25.62
2438,33949,-4.33,18.92
2466,70422,-11.21,16.77
2486,490178,-0.86,37.85
2489,1462046,-21.81,39.85
2491,218921,2025.24,943.97
3008,3398663,-15.25,-26.99
3019,1668547,-6.33,39.63
3024,116649,-10.02,16.86
3031,163942,21.15,35.96
3038,337156,-5.22,17.61
3049,269209,-16.47,27.40
3050,81551,-2.05,11.31
3051,312577,17.57,39.23
3059,748711,-10.09,45.04
3149,192395,-11.27,-11.96
3356,107173,0.34,41.01
3383,50927,0.18,-0.52
3406,674298,-17.27,-28.31
3437,331030,-40.48,-28.11
3454,468894,-1.24,1.15
3481,30345891,-2.07,46.90
3504,377244,-23.08,11.97
3535,86784,-48.15,26.44
3543,278227,-6.96,33.83
3563,230980,-18.15,-9.73
3576,1015150,-30.79,19.54
3591,203476,5.96,7.47
3622,125232,-18.89,229.60
3669,356337,9.18,68.97
3714,2911948,13.71,9790807
4934,210900,38.70,11.63
4942,708641,-6.23,27.96
4956,150737,-4.13,39.87
4960,901892,-12.67,7.64
4976,142861,-16.55,127.06
5234,365522,0.32,-3.09
5484,42636,30.37,101.12
6116,2750339,-9.16,170.37
6120,1618373,-6.20,71.88
6131,3545,-73.45,1358.84
6164,76054,11.24,-7.78
6168,272549,12.59,46.04
6176,4924942,-0.63,-3.52
6209,273106,-12.31,17.77
6225,1042,-55.56,183.15
6226,81608,12.44,7.76
6278,4945016,11.78,55.05
6289,5354,-24.79,0.26
6405,44178,-1.11,8.07
6443,454450,9.83,12.29
6477,91238,-3.36,-34.84
6668,105394,-31.63,-16.72
6706,429677,5.73,79.13
8104,154408,-3.98,0.26
8105,895224,4.31,49.11
8215,1369750,-1.67,11.85
2314,310826,-3.89,-3.36
2321,81357,-11.65,-17.37
2332,1155108,-16.14,41.06
2345,4624529,-10.90,13.56
2412,16340190,0.71,3.96
2419,749862,-20.69,32.24
2439,2830459,13.45,36.82
2444,103635,-42.77,40.97
2450,2205259,-7.21,21.74
2455,288878,-15.43,46.57
2485,521919,9.08,-29.12
2498,380022,-16.42,27.88
3025,32117,-17.17,91.11
3027,85926,25.15,25.36
3045,11237224,-4.20,13.38
3047,434633,0.15,-12.46
3062,309978,-10.83,-33.21
3138,129821,-6.50,27.64
3311,151712,-2.39,78.43
3380,2143116,-13.84,1.93
3419,138041,14.28,6.28
3596,3278819,-3.60,13.89
3682,1075581,9.63,-3.38
3694,885688,-9.14,-6.20
3704,1803690,-29.41,36.97
4904,6359087,-3.30,3.55
4906,2107273,2.88,10.19
5388,3268553,-3.59,27.52
6136,53056,32.38,10.13
6142,203461,-37.17,1.93
6152,277482,27.61,64.43
6216,68009,-13.42,4.13
6285,5137151,-10.61,4.59
6416,300463,-31.28,-29.44
6426,51629,-8.05,-10.65
6442,243139,2.92,9.14
6674,237623,-9.00,26.76
8011,113634,-3.89,-16.56
8101,68118,-8.95,-69.23
1471,40805,-23.07,-36.52
1582,873364,-3.54,-13.68
2059,508572,7.02,37.34
2308,26438926,-2.17,13.48
2313,4520054,-0.16,-2.38
2316,398406,-10.26,-11.86
2327,9017470,3.33,103.05
2328,1644004,-7.06,-6.94
2355,1406327,-13.20,40.31
2367,1027439,-6.85,32.36
2368,2128600,-1.67,-4.68
2375,695096,10.00,66.45
2383,2951523,4.72,32.53
2385,8004716,-11.97,-9.97
2392,6391299,0.66,-9.47
2402,543979,0.75,27.73
2413,325289,-12.22,2.49
2415,249181,9.51,56.76
2420,247947,30.11,39.24
2421,1122420,-7.41,-10.33
2428,629181,4.09,24.08
2429,105950,-3.43,65.68
2431,158564,1.35,22.59
2440,410043,-6.20,65.38
2456,1623774,4.40,3.22
2457,995845,9.15,33.67
2460,424145,17.54,39.55
2462,449291,25.13,6.83
2467,609269,6.45,107.79
2472,815338,6.86,19.26
2476,542646,5.55,28.71
2478,537860,-11.85,11.72
2483,172975,3.87,2.81
2484,273894,4.65,24.93
2492,3948602,5.07,45.11
2493,215669,-13.13,-9.44
3003,393374,1.20,33.36
3011,136785,38.79,3.84
3015,1469714,-2.39,24.69
3021,261969,-6.33,19.20
3023,2157280,0.90,24.48
3026,1414997,-11.56,10.39
3032,701447,-17.30,-1.92
3037,7866654,1.34,7.62
3042,1592403,39.85,83.99
3044,5147940,1.11,23.95
3058,391713,2.89,5.09
3090,994536,3.43,6.46
3092,234424,-2.64,-22.86
3229,38066,-10.79,10.36
3296,287965,11.45,50.40
3308,28295,-1.25,-25.83
3321,191963,7.91,13.85
3338,408089,-11.16,-30.98
3376,1115878,13.50,-9.13
3432,4283,10.10,57.75
3501,467263,3.50,46.42
3533,1752452,4.12,2.06
3550,435200,-5.68,24.70
3593,54158,8.00,-6.81
3605,946342,15.13,35.22
3607,317223,0.07,14.78
3645,188632,-6.79,-6.15
3653,684674,2.03,10.57
3679,402258,4.61,-1.53
4545,155939,1.65,21.90
4915,6066898,5.38,-6.83
4989,349409,-9.79,55.55
4999,277885,3.67,12.59
5469,4415883,0.62,14.36
6108,778342,7.98,2.01
6115,645127,-7.50,13.99
6133,78408,-0.97,-9.84
6141,343205,-6.00,27.36
6153,1174552,-8.77,-18.50
6155,67873,0.97,29.78
6165,198881,-7.83,315584.12
6191,2258426,-2.36,22.70
6197,325703,9.19,4.13
6205,138887,21.47,-1.66
6213,2689223,-2.28,10.67
6224,212368,11.61,41.49
6251,1223141,-8.56,31.49
6269,2391592,2.54,8.11
6282,1633322,-11.92,-12.98
6412,3162400,-10.61,-1.82
6449,232095,-1.75,13.23
6715,216759,38.06,-11.48
8039,745170,-3.43,2.22
8046,4139307,7.06,40.91
8103,331236,2.25,1.80
8213,2084966,-8.78,3.52
8249,375953,18.15,22.76
2347,31828300,-3.86,37.79
2414,1687495,-12.77,6.87
2430,1694800,11.45,17.62
2459,593108,9.23,17.48
3010,5588007,-5.50,6.01
3028,3217531,-15.27,38.42
3033,6531297,4.85,31.99
3036,35794148,5.95,28.38
3048,7970218,-8.93,-0.47
3055,281608,-22.06,20.17
3209,4528328,16.46,23.06
3312,1520228,-3.14,33.86
3528,563122,1.71,34.57
3702,66372523,-2.53,19.04
5434,3755934,9.69,10.12
6189,2702551,-3.01,1.91
6281,1673879,30.39,10.54
6776,1248155,-1.45,-10.59
8070,1594942,-3.75,14.86
8072,121805,-11.09,103.94
8112,16199282,-19.31,79.01
2427,272306,44.99,65.61
2453,453411,7.49,3.48
2468,226481,9.25,39.52
2471,61894,27.01,34.70
2480,459133,-13.35,6.29
3029,919411,-18.39,26.39
3130,163406,-7.36,27.64
4994,235398,-14.81,-7.82
5203,168132,32.11,14.58
6112,867210,-14.49,-28.04
6183,148008,-18.96,19.72
6214,2213247,-18.42,14.06
2312,11601677,-4.36,82.68
2317,500490784,13.43,31.38
2354,6833936,11.22,-5.41
2359,330294,-11.90,-12.49
2360,1461163,-1.02,26.03
2373,1204461,4.55,9.26
2390,72128,72.06,58.50
2404,1926907,-20.76,-36.71
2423,206478,-14.24,16.58
2433,335134,1.38,-0.73
2461,538401,-11.69,7.30
2464,768132,1.72,12.47
2474,3803553,-16.43,-50.72
2477,286328,26.60,21.39
2482,66909,4.78,-7.57
2488,208052,29.06,108.53
2495,95003,-3.35,-2.52
3018,166449,-0.50,76.77
3030,562339,15.16,17.00
3043,87431,9.01,-5.29
3305,533035,-6.85,26.69
3450,615756,-2.79,7.84
3518,85842,15.64,30.27
3617,765507,0.80,33.82
6139,1764865,21.97,46.10
6192,597714,19.76,29.64
6196,2553798,-7.61,29.58
6201,294314,-19.55,18.93
6215,165552,-1.31,-10.90
6283,231841,-14.73,99.94
6409,1376331,-0.14,8.08
6438,349823,-16.36,16.41
6558,162240,-15.28,2.93
6698,60824,-4.03,61.91
6743,511318,-15.39,148.64
8021,298959,16.91,27.12
8201,48504,-43.48,-24.98
2616,1538012,-1.64,41.35
6505,46553948,-0.28,110.14
8926,574267,-26.24,-10.53
9908,281124,-11.09,-13.77
9918,169418,-9.62,-15.49
9926,188442,-5.10,-13.97
9931,103600,-4.64,-6.35
9937,1769828,-2.68,59.44
1316,110280,68.50,-49.79
1436,387958,-6.45,1270.05
1438,14,-96.20,421
1442,56129,-56.88,-29.58
1805,46952,1139.49,-20.83
1808,816258,-55.61,138.75
2501,476802,-29.28,40.63
2504,2039703,4.18,28.95
2505,1482218,40.29,1222.13
2506,141539,24.28,89.92
2509,94154,-8.82,132.01
2511,954929,-14.24,27.81
2515,1331837,8.09,20.54
2516,728707,59.99,68.17
2520,1369639,-30.04,-26.30
2524,562885,-7.01,-34.77
2527,503674,-11.30,160.10
2528,138013,-1.32,657104.76
2530,745,-0.93,13.74
2534,168323,-50.30,62.39
2535,1176113,-3.79,60.05
2536,25104,-52.76,-95.25
2537,114,0.00,-99.98
2538,15527,-55.10,38.34
2539,263,12.39,-99.96
2540,428651,-12.93,95.39
2542,3850224,-20.31,-34.06
2543,664031,10.86,32.01
2545,1131071,205.59,339.13
2546,808580,-21.96,-36.57
2547,430805,8.06,7.57
2548,1110724,14.19,-57.66
2597,1897598,19.25,104.94
